species,lifestage,url,shp_comp
lesseramberjack,postlarvae,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/lesseramberjack_2025/FeatureServer/2,blank
lesseramberjack,earlyjuvenile,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/lesseramberjack_2025/FeatureServer/3,blank
lesseramberjack,latejuvenile,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/lesseramberjack_2025/FeatureServer/4,spatial_data
lesseramberjack,adult,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/lesseramberjack_2025/FeatureServer/5,spatial_data
lesseramberjack,spawningadult,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/lesseramberjack_2025/FeatureServer/6,spatial_data
muttonsnapper,egg,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/muttonsnapper_2025/FeatureServer/0,blank
muttonsnapper,larvae,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/muttonsnapper_2025/FeatureServer/1,blank
muttonsnapper,postlarvae,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/muttonsnapper_2025/FeatureServer/2,blank
muttonsnapper,earlyjuvenile,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/muttonsnapper_2025/FeatureServer/3,blank
muttonsnapper,latejuvenile,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/muttonsnapper_2025/FeatureServer/4,blank
muttonsnapper,adult,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/muttonsnapper_2025/FeatureServer/5,spatial_data
muttonsnapper,spawningadult,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/muttonsnapper_2025/FeatureServer/6,spatial_data
pinkshrimp,egg,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/pinkshrimp_2025/FeatureServer/0,spatial_data
pinkshrimp,larvae,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/pinkshrimp_2025/FeatureServer/1,spatial_data
pinkshrimp,postlarvae,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/pinkshrimp_2025/FeatureServer/2,spatial_data
pinkshrimp,earlyjuvenile,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/pinkshrimp_2025/FeatureServer/3,spatial_data
pinkshrimp,latejuvenile,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/pinkshrimp_2025/FeatureServer/4,spatial_data
pinkshrimp,adult,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/pinkshrimp_2025/FeatureServer/5,spatial_data
pinkshrimp,spawningadult,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/pinkshrimp_2025/FeatureServer/6,spatial_data
queensnapper,egg,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/queensnapper_2025/FeatureServer/0,spatial_data
queensnapper,larvae,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/queensnapper_2025/FeatureServer/1,spatial_data
queensnapper,postlarvae,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/queensnapper_2025/FeatureServer/2,spatial_data
queensnapper,earlyjuvenile,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/queensnapper_2025/FeatureServer/3,spatial_data
queensnapper,latejuvenile,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/queensnapper_2025/FeatureServer/4,spatial_data
queensnapper,adult,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/queensnapper_2025/FeatureServer/5,spatial_data
queensnapper,spawningadult,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/queensnapper_2025/FeatureServer/6,blank
reddrum,egg,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/reddrum_2025/FeatureServer/0,blank
reddrum,larvae,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/reddrum_2025/FeatureServer/1,spatial_data
reddrum,postlarvae,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/reddrum_2025/FeatureServer/2,spatial_data
reddrum,earlyjuvenile,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/reddrum_2025/FeatureServer/3,spatial_data
reddrum,latejuvenile,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/reddrum_2025/FeatureServer/4,spatial_data
reddrum,adult,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/reddrum_2025/FeatureServer/5,spatial_data
reddrum,spawningadult,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/reddrum_2025/FeatureServer/6,spatial_data
redgrouper,egg,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/redgrouper_2025/FeatureServer/0,spatial_data
redgrouper,larvae,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/redgrouper_2025/FeatureServer/1,spatial_data
redgrouper,postlarvae,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/redgrouper_2025/FeatureServer/2,blank
redgrouper,earlyjuvenile,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/redgrouper_2025/FeatureServer/3,spatial_data
redgrouper,latejuvenile,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/redgrouper_2025/FeatureServer/4,spatial_data
redgrouper,adult,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/redgrouper_2025/FeatureServer/5,spatial_data
redgrouper,spawningadult,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/redgrouper_2025/FeatureServer/6,spatial_data
redsnapper,egg,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/redsnapper_2025/FeatureServer/0,spatial_data
redsnapper,larvae,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/redsnapper_2025/FeatureServer/1,spatial_data
redsnapper,postlarvae,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/redsnapper_2025/FeatureServer/2,spatial_data
redsnapper,earlyjuvenile,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/redsnapper_2025/FeatureServer/3,spatial_data
redsnapper,latejuvenile,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/redsnapper_2025/FeatureServer/4,spatial_data
redsnapper,adult,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/redsnapper_2025/FeatureServer/5,spatial_data
redsnapper,spawningadult,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/redsnapper_2025/FeatureServer/6,spatial_data
royalredshrimp,egg,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/royalredshrimp_2025/FeatureServer/0,spatial_data
royalredshrimp,larvae,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/royalredshrimp_2025/FeatureServer/1,blank
royalredshrimp,postlarvae,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/royalredshrimp_2025/FeatureServer/2,blank
royalredshrimp,earlyjuvenile,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/royalredshrimp_2025/FeatureServer/3,blank
royalredshrimp,latejuvenile,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/royalredshrimp_2025/FeatureServer/4,blank
royalredshrimp,adult,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/royalredshrimp_2025/FeatureServer/5,spatial_data
royalredshrimp,spawningadult,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/royalredshrimp_2025/FeatureServer/6,spatial_data
scamp,egg,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/scamp_2025/FeatureServer/0,spatial_data
scamp,larvae,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/scamp_2025/FeatureServer/1,spatial_data
scamp,postlarvae,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/scamp_2025/FeatureServer/2,spatial_data
scamp,earlyjuvenile,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/scamp_2025/FeatureServer/3,spatial_data
scamp,latejuvenile,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/scamp_2025/FeatureServer/4,spatial_data
scamp,adult,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/scamp_2025/FeatureServer/5,spatial_data
scamp,spawningadult,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/scamp_2025/FeatureServer/6,spatial_data
silksnapper,egg,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/silksnapper_2025/FeatureServer/0,blank
silksnapper,larvae,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/silksnapper_2025/FeatureServer/1,blank
silksnapper,postlarvae,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/silksnapper_2025/FeatureServer/2,blank
silksnapper,earlyjuvenile,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/silksnapper_2025/FeatureServer/3,blank
silksnapper,latejuvenile,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/silksnapper_2025/FeatureServer/4,blank
silksnapper,adult,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/silksnapper_2025/FeatureServer/5,spatial_data
silksnapper,spawningadult,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/silksnapper_2025/FeatureServer/6,blank
snowygrouper,egg,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/snowygrouper_2025/FeatureServer/0,spatial_data
snowygrouper,larvae,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/snowygrouper_2025/FeatureServer/1,spatial_data
snowygrouper,postlarvae,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/snowygrouper_2025/FeatureServer/2,spatial_data
snowygrouper,earlyjuvenile,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/snowygrouper_2025/FeatureServer/3,spatial_data
snowygrouper,latejuvenile,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/snowygrouper_2025/FeatureServer/4,spatial_data
snowygrouper,adult,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/snowygrouper_2025/FeatureServer/5,spatial_data
