"species","lifestage","habitatzone","habitattype","ecoregion","shapefile_name","pretty_name"
"cobia","latejuvenile","near","wca","er5","wca_near_er5","ER5 Nearshore WCA"
"cobia","latejuvenile","off","wca","er3","wca_off_er3","ER3 Offshore WCA"
"cobia","latejuvenile","off","wca","er4","wca_off_er4","ER4 Offshore WCA"
"cobia","latejuvenile","off","wca","er5","wca_off_er5","ER5 Offshore WCA"
"cobia","adult","near","wca","er1","wca_near_er1","ER1 Nearshore WCA"
"cobia","adult","near","wca","er2","wca_near_er2","ER2 Nearshore WCA"
"cobia","adult","near","wca","er3","wca_near_er3","ER3 Nearshore WCA"
"cobia","adult","near","wca","er4","wca_near_er4","ER4 Nearshore WCA"
"cobia","adult","near","wca","er5","wca_near_er5","ER5 Nearshore WCA"
"cobia","adult","near","shelf","er1","shelf_near_er1","ER1 Nearshore Shelf/Slope Edge"
"cobia","adult","near","shelf","er2","shelf_near_er2","ER2 Nearshore Shelf/Slope Edge"
"cobia","adult","near","shelf","er3","shelf_near_er3","ER3 Nearshore Shelf/Slope Edge"
"cobia","adult","near","shelf","er4","shelf_near_er4","ER4 Nearshore Shelf/Slope Edge"
"cobia","adult","near","shelf","er5","shelf_near_er5","ER5 Nearshore Shelf/Slope Edge"
"cobia","adult","off","wca","er1","wca_off_er1","ER1 Offshore WCA"
"cobia","adult","off","wca","er2","wca_off_er2","ER2 Offshore WCA"
"cobia","adult","off","wca","er3","wca_off_er3","ER3 Offshore WCA"
"cobia","adult","off","wca","er4","wca_off_er4","ER4 Offshore WCA"
"cobia","adult","off","wca","er5","wca_off_er5","ER5 Offshore WCA"
"cobia","adult","off","shelf","er1","shelf_off_er1","ER1 Offshore Shelf/Slope Edge"
"cobia","adult","off","shelf","er2","shelf_off_er2","ER2 Offshore Shelf/Slope Edge"
"cobia","adult","off","shelf","er3","shelf_off_er3","ER3 Offshore Shelf/Slope Edge"
"cobia","adult","off","shelf","er4","shelf_off_er4","ER4 Offshore Shelf/Slope Edge"
"cobia","adult","off","shelf","er5","shelf_off_er5","ER5 Offshore Shelf/Slope Edge"
"cobia","spawningadult","near","wca","er3","wca_near_er3","ER3 Nearshore WCA"
"cobia","spawningadult","near","wca","er4","wca_near_er4","ER4 Nearshore WCA"
